"pais","CPI","GDP"
"Afghanistan",-1.64321174132783,-0.689596660842218
"Albania",-0.396873270064901,-0.510502142123156
"Algeria",-0.396873270064901,-0.499337128258101
"Angola",-1.44379758592576,-0.502151096568274
"Argentina",-0.59628742546697,-0.00157205583390399
"Armenia",-0.446726808915418,-0.534878643672762
"Australia",1.74682890050734,2.28827341150946
"Austria",1.59726828395578,1.61826728962382
"Azerbaijan",-0.745848042018521,-0.427599909924191
"Bahrain",0.350929812692856,0.486545354298378
"Bangladesh",-0.94526219742059,-0.656599742412311
"Belarus",-0.59628742546697,-0.414552503582701
"Belgium",1.6471218228063,1.43382596388197
"Benin",-0.347019731214384,-0.680632047268328
"Bhutan",1.0488793566001,-0.57940668580485
"Bolivia",-0.496580347765935,-0.556916852467002
"Bosnia and Herzegovina",-0.297166192363867,-0.494248468755507
"Botswana",0.949172278899062,-0.381432657762227
"Brazil",-0.297166192363867,-0.257563002022318
"Bulgaria",-0.147605575812315,-0.347582730135162
"Burkina Faso",-0.297166192363867,-0.689839843288776
"Burundi",-1.14467635282266,-0.70655262373685
"Cambodia",-1.14467635282266,-0.659432951531443
"Cameroon",-0.845555119719555,-0.656302578807286
"Canada",1.9462430559094,1.59351559229952
"Central African Republic",-0.995115736271107,-0.704087127855591
"Chad",-1.09482281397214,-0.679902499928653
"Chile",1.29814705085268,-0.00430799197441217
"China",-0.347019731214384,-0.290088520632743
"Colombia",-0.347019731214384,-0.397679917526889
"Comoros",-0.895408658570073,-0.683015769711513
"Congo Republic",-1.04496927512162,-0.622420583165291
"Costa Rica",0.550343968094924,-0.119546541495711
"Croatia",0.350929812692856,-0.104809150767371
"Cuba",0.151515657290787,-0.312481615458883
"Cyprus",0.849465201198027,0.175759256530883
"Czech Republic",0.600197506945442,0.216539616651397
"Denmark",2.34507136671354,2.11583086802087
"Djibouti",-0.496580347765935,-0.617400869894798
"Dominican Republic",-0.546433886616453,-0.37564277766648
"Ecuador",-0.59628742546697,-0.389721170687994
"Egypt",-0.396873270064901,-0.528164670280095
"El Salvador",-0.24731265351335,-0.495850800568213
"Estonia",1.29814705085268,0.193566090755011
"Ethiopia",-0.546433886616453,-0.68826851055717
"Finland",2.29521782786302,1.54393790674967
"France",1.29814705085268,1.21370683366201
"Gabon",-0.496580347765935,-0.279546695191175
"Gambia",-0.795701580869038,-0.69615884563088
"Georgia",0.400783351543373,-0.518479060837179
"Germany",1.84653597820837,1.48669863796595
"Ghana",0.151515657290787,-0.648155165147215
"Greece",0.10166211844027,0.240798535479591
"Guatemala",-0.795701580869038,-0.512733007028505
"Guinea",-0.94526219742059,-0.692963802409946
"Guinea-Bissau",-1.34409050822473,-0.690736678773006
"Guyana",-0.745848042018521,-0.500767896190928
"Haiti",-1.34409050822473,-0.677623533000908
"Honduras",-0.646140964317487,-0.586200294767929
"Hong Kong",1.54741474510527,1.54092190994544
"Hungary",0.350929812692856,-0.0605707897034907
"Iceland",1.74682890050734,1.98949625086662
"India",-0.297166192363867,-0.636206622784019
"Indonesia",-0.396873270064901,-0.542502279755632
"Iraq",-1.39394404707524,-0.457133482741577
"Ireland",1.54741474510527,2.54603130532056
"Israel",0.849465201198027,1.18818710738012
"Italy",0.00195504073923596,0.879784197588892
"Jamaica",-0.147605575812315,-0.441726939435016
"Japan",1.54741474510527,1.12381644654272
"Jordan",0.45063689039389,-0.457331769967232
"Kazakhstan",-0.795701580869038,-0.159637439295214
"Kenya",-0.94526219742059,-0.647780503839441
"Korea",0.600197506945442,0.733539084431056
"Kosovo",-0.546433886616453,-0.53100696533679
"Kuwait",0.251222734991822,0.844657962967584
"Latvia",0.550343968094924,0.00810874340677272
"Lebanon",-0.795701580869038,-0.291240831302588
"Lesotho",0.00195504073923596,-0.664334013146692
"Liberia",-0.347019731214384,-0.696996355287488
"Lithuania",0.849465201198027,0.0389651218400522
"Luxembourg",1.84653597820837,4.60754876508861
"Madagascar",-0.795701580869038,-0.699884080032001
"Malawi",-0.646140964317487,-0.701479463774806
"Malaysia",0.301076273842339,-0.199276178084194
"Mali",-0.446726808915418,-0.682651797742049
"Malta",0.600197506945442,0.486329964131427
"Mauritius",0.45063689039389,-0.226866429196777
"Mexico",-0.446726808915418,-0.240072572212173
"Moldova",-0.546433886616453,-0.622588405776762
"Mongolia",-0.24731265351335,-0.509293712427182
"Montenegro",0.00195504073923596,-0.378977851219278
"Morocco",-0.396873270064901,-0.564968596549197
"Mozambique",-0.646140964317487,-0.693074971528373
"Myanmar",-1.09482281397214,-0.659283300795099
"Namibia",0.45063689039389,-0.471574244331808
"Nepal",-0.845555119719555,-0.681633103801083
"Netherlands",2.14565721131147,1.64631504441608
"New Zealand",2.19551075016199,1.29934981220372
"Nicaragua",-0.845555119719555,-0.609823197966663
"Niger",-0.496580347765935,-0.702175874165719
"Nigeria",-0.895408658570073,-0.578566503813665
"Norway",2.14565721131147,3.25509252812344
"Oman",0.0518085795897531,0.10977129880714
"Pakistan",-0.695994503168004,-0.644681130196384
"Panama",-0.24731265351335,-0.0122245159269823
"Paraguay",-0.845555119719555,-0.503247822678906
"Peru",-0.396873270064901,-0.399230940515706
"Philippines",-0.446726808915418,-0.566141216961831
"Poland",0.899318740048544,-0.0503619371502878
"Portugal",0.949172278899062,0.306977297892172
"Qatar",1.3480005897032,3.2151689184685
"Romania",0.10166211844027,-0.241788211010968
"Russian Federation",-0.745848042018521,-0.214750598689025
"Rwanda",0.500490429244407,-0.684090048211693
"Sao Tome and Principe",-0.0977520369617983,-0.632155363564435
"Saudi Arabia",0.400783351543373,0.373320676114731
"Senegal",0.00195504073923596,-0.673281523779285
"Serbia",-0.197459114662833,-0.441560185757376
"Seychelles",0.550343968094924,0.105780968815924
"Sierra Leone",-0.745848042018521,-0.686453460912089
"Singapore",2.04595013361044,2.10536707474897
"Slovak Republic",0.350929812692856,0.138504240185088
"Slovenia",0.79961166234751,0.38640389173956
"Somalia",-1.79277235787938,-0.692004434296602
"South Africa",0.00195504073923596,-0.415433839526381
"South Sudan",-1.44379758592576,-0.682314014651446
"Spain",0.699904584646476,0.652163289742794
"Sri Lanka",-0.347019731214384,-0.511520301597207
"Sudan",-1.59335820247731,-0.592302303542334
"Suriname",-0.396873270064901,-0.214402126260111
"Sweden",2.24536428901251,1.98234027333482
"Switzerland",2.09580367246096,3.60488562478578
"Tajikistan",-0.895408658570073,-0.671874272390741
"Tanzania",-0.695994503168004,-0.675752898796615
"Thailand",-0.297166192363867,-0.410580879933528
"Timor-Leste",-0.795701580869038,-0.659470364215529
"Togo",-0.59628742546697,-0.691450192105215
"Trinidad and Tobago",-0.24731265351335,0.204436078882702
"Tunisia",-0.297166192363867,-0.514388251065847
"Turkey",-0.0977520369617983,-0.233623159942685
"Turkmenistan",-1.29423696937421,-0.364739118123111
"Uganda",-0.94526219742059,-0.683665681480777
"Ukraine",-0.845555119719555,-0.614209033475358
"United Arab Emirates",1.29814705085268,1.43995683386981
"United Kingdom",1.84653597820837,1.62619770971619
"USA",1.59726828395578,2.277838479451
"Uruguay",1.49756120625475,0.11101233098496
"Uzbekistan",-1.24438343052369,-0.607409010909293
"Vietnam",-0.646140964317487,-0.608527650163461
"Yemen",-1.29423696937421,-0.646199550703355
"Zambia",-0.297166192363867,-0.651619579693566
"Zimbabwe",-1.14467635282266,-0.671968873034787
