"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"Y45F10D.7",402,450,564,434,797,533,465,529,959,461
"Y45F3A.1",54,79,80,46,115,37,39,50,109,47
"Y45F3A.4",235,244,316,231,552,239,214,185,392,163
"Y45F3A.8",1,1,0,0,1,0,0,0,1,1
"Y45F3A.9",117,95,72,85,139,103,65,71,90,27
"Y45G12B.2",208,258,261,221,367,311,348,302,468,237
"Y45G12B.3",159,126,170,157,220,151,153,157,222,96
"Y45G12C.1",202,216,182,184,346,621,266,324,604,316
"Y45G5AL.1",421,408,429,402,616,658,554,593,801,430
"Y45G5AM.2",13,2,10,43,12,105,55,117,93,41
"Y45G5AM.3",139,134,169,133,211,82,130,93,196,95
"Y45G5AM.4",1,0,1,0,2,0,0,0,0,0
"Y45G5AM.5",2,5,4,5,9,2,1,1,2,0
"Y45G5AM.6",305,324,249,186,330,288,180,194,196,102
"Y45G5AM.7",578,482,379,373,506,479,360,426,416,224
"Y45G5AM.9",652,562,582,433,661,570,436,548,587,318
"Y46B2A.3",5,2,2,0,1,2,0,4,0,1
"Y46D2A.1",52,74,55,33,79,46,61,77,84,40
"Y46D2A.2",41,52,36,41,53,107,99,99,96,39
"Y46D2A.3",8,7,15,14,28,44,43,40,77,44
"Y46E12A.2",9,7,8,16,44,4,20,22,24,13
"Y46E12A.3",7,2,7,2,12,7,6,3,11,9
"Y46E12A.5",3,8,4,9,12,11,18,15,15,8
"Y46E12BL.2",402,448,480,394,907,544,545,655,739,400
"Y46E12BR.1",89,79,70,68,98,87,51,58,88,51
"Y46G5A.15",192,203,180,138,258,134,130,120,197,119
"Y46G5A.18",417,421,390,317,489,471,454,426,572,309
"Y46G5A.20",101,102,100,69,97,11,23,17,10,14
"Y46G5A.22",2,3,8,5,7,1,2,0,0,1
"Y46G5A.29",16,10,6,4,20,6,9,11,12,5
"Y46G5A.34",2,1,3,1,1,1,5,7,3,4
"Y46G5A.35",59,89,54,47,85,44,47,60,56,33
"Y46G5A.36",4,1,1,0,4,0,2,4,2,1
"Y46G5A.38",0,1,0,0,0,0,6,0,1,1
"Y46G5A.39",1,0,1,0,0,0,0,2,0,0
"Y46G5A.7",3,8,4,3,4,3,0,7,2,1
"Y46G5A.8",1,3,4,2,3,3,2,6,1,0
"Y46H3A.4",33,42,35,31,53,25,19,16,69,25
"Y46H3A.5",151,111,341,361,687,958,329,323,2155,1083
"Y46H3C.5",188,187,187,160,481,360,304,443,922,464
"Y46H3C.7",148,141,117,134,361,210,194,294,615,332
"Y46H3D.1",3,4,2,3,15,8,5,9,16,4
"Y46H3D.8",1,1,0,0,0,1,1,0,0,0
"Y47A7.2",844,936,967,739,1090,524,506,514,583,347
"Y47D3A.1",46,41,43,22,64,87,138,145,112,48
"Y47D3A.13",0,0,0,0,1,2,0,1,1,0
"Y47D3A.14",120,118,102,99,157,170,97,124,135,76
"Y47D3A.20",82,62,66,74,100,94,59,68,112,67
"Y47D3A.21",321,327,356,282,509,428,465,361,480,270
"Y47D3A.32",111,129,146,103,312,344,432,311,327,150
"Y47D3A.34",1,1,0,0,9,4,1,1,0,0
"Y47D3B.1",11,19,12,6,92,5,8,3,15,7
"Y47D3B.12",12,12,5,4,8,3,7,6,3,3
"Y47D3B.3",21,11,12,6,14,6,11,17,36,10
"Y47D3B.4",27,21,14,13,51,15,14,10,20,12
"Y47D3B.6",4,2,10,9,15,3,2,2,5,1
"Y47D7A.13",0,23,1,0,5,0,37,3,18,2
"Y47D7A.15",0,2,0,0,0,0,0,0,2,0
"Y47D7A.3",2,1,0,0,0,2,0,1,0,2
"Y47D9A.1",836,857,866,688,1312,790,653,749,936,496
"Y47G6A.14",64,51,30,62,66,195,149,161,206,108
"Y47G6A.18",524,493,524,450,674,576,483,537,678,350
"Y47G6A.19",803,1101,1565,1041,2300,1086,1497,1217,1755,791
"Y47G6A.21",249,215,241,190,279,194,119,127,111,78
"Y47G6A.22",570,494,398,347,570,488,361,334,429,223
"Y47G6A.25",12,6,6,24,8,49,29,48,38,21
"Y47G6A.26",0,0,2,0,5,0,1,0,0,0
"Y47G6A.3",2,1,3,2,8,8,10,9,7,3
"Y47G6A.31",8,3,1,9,8,7,4,4,4,2
"Y47G6A.32",11,14,12,13,35,12,9,12,18,2
"Y47G6A.33",146,109,155,113,182,72,58,57,47,27
"Y47G6A.5",678,689,594,534,609,566,508,466,549,293
"Y47G6A.7",2004,1874,1538,1239,1670,3003,1600,1528,1662,841
"Y47G6A.9",224,184,243,205,359,258,222,272,300,157
"Y47G7B.2",45,51,55,53,400,69,96,61,198,114
"Y47H10A.2",0,0,0,1,0,1,2,3,3,0
"Y47H10A.3",11,12,12,9,19,17,8,9,9,4
"Y47H10A.4",129,132,120,96,189,175,103,86,149,85
"Y47H10A.5",287,318,351,227,273,59,191,181,91,58
"Y47H9B.2",3,2,1,1,1,9,1,4,5,1
"Y47H9C.1",8,9,7,5,7,1,7,3,1,1
"Y47H9C.12",2,0,0,0,0,1,0,2,1,1
"Y47H9C.8",173,177,196,181,279,249,231,272,390,203
"Y47H9C.9",13,17,8,5,19,4,1,5,3,0
"Y48A5A.1",97,116,132,134,232,194,153,193,253,128
"Y48A5A.3",86,66,72,59,129,96,103,85,91,38
"Y48A6B.14",1,2,0,0,3,4,0,6,2,1
"Y48A6B.3",253,284,404,365,627,534,555,491,790,448
"Y48A6B.7",90,69,78,42,137,354,237,170,165,57
"Y48A6B.8",18,20,12,14,25,123,45,60,82,30
"Y48A6B.9",205,228,218,170,362,360,291,245,391,195
"Y48A6C.4",217,217,201,203,281,277,248,277,297,185
"Y48A6C.6",6,7,11,7,10,5,3,3,7,14
"Y48A6C.8",25,24,26,28,42,30,31,32,54,18
"Y48B6A.1",609,608,729,578,1092,1018,948,949,1132,634
"Y48B6A.10",20,25,18,16,25,22,27,28,38,25
"Y48B6A.13",94,87,100,77,147,105,115,117,117,85
"Y48B6A.5",4,3,5,1,2,5,1,3,0,0
"Y48C3A.1",0,1,0,0,1,3,1,0,0,0
"Y48C3A.12",387,378,496,412,678,451,415,530,612,310
"Y48C3A.14",288,304,432,362,576,449,453,523,620,305
"Y48C3A.18",95,67,90,74,154,73,86,73,135,69
"Y48C3A.20",300,295,266,189,378,355,258,304,379,197
"Y48C3A.3",1215,1117,790,732,1006,985,645,588,670,378
"Y48C3A.5",444,480,484,375,723,336,363,473,434,225
"Y48E1B.2",732,729,642,549,808,864,731,821,922,442
"Y48E1B.3",497,504,519,463,815,563,526,548,763,416
"Y48E1B.8",8,6,7,8,6,7,3,4,7,2
"Y48E1C.1",349,285,239,247,470,262,264,265,434,236
"Y48E1C.2",187,158,130,143,297,152,126,163,210,114
"Y48E1C.4",292,275,266,181,326,277,234,286,398,206
