"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"2L52.1",177,200,181,179,298,134,124,118,253,122
"2RSSE.1",890,871,700,621,1142,938,653,719,903,432
"4R79.2",31,58,36,33,55,54,68,74,92,33
"6R55.2",1,1,1,2,0,4,1,1,1,0
"AC3.5",3005,3061,2360,2061,5951,2561,2958,2761,2891,1496
"AC7.3",0,0,0,1,0,1,0,0,1,0
"AH10.2",0,0,1,0,2,0,0,0,2,0
"AH10.3",53,68,77,67,111,64,64,75,65,31
"AH6.17",0,0,0,0,3,0,0,0,0,0
"AH6.3",0,0,0,1,0,0,0,2,0,1
"AH9.1",54,42,45,34,47,56,40,39,59,22
"AH9.3",114,120,108,74,85,73,73,65,101,64
"AH9.4",19,15,19,17,28,19,18,27,32,7
"AH9.6",291,361,247,175,332,217,183,204,202,98
"B0001.2",95,50,68,107,113,183,124,242,205,94
"B0001.3",397,364,363,331,476,430,357,456,612,345
"B0001.4",261,236,282,203,349,313,208,239,351,199
"B0001.5",264,210,233,242,342,310,234,286,554,259
"B0001.7",20,21,22,49,32,91,52,105,65,53
"B0001.8",187,198,176,163,266,211,212,267,369,190
"B0019.2",280,312,240,208,408,408,315,401,449,245
"B0024.10",293,232,235,211,424,283,364,391,373,212
"B0024.11",318,315,345,304,542,446,403,465,643,333
"B0024.13",129,103,112,125,134,174,118,181,170,105
"B0024.15",63,74,63,53,107,40,87,81,95,49
"B0024.3",163,162,147,108,219,232,275,252,204,103
"B0024.4",6,6,4,21,5,0,44,10,4,1
"B0025.4",122,120,128,125,200,142,147,145,201,92
"B0034.1",146,184,132,97,160,56,44,35,50,38
"B0034.2",0,1,0,0,1,1,1,1,1,0
"B0034.4",12,11,8,8,10,7,12,7,7,2
"B0034.5",15,16,20,17,31,18,24,24,23,10
"B0034.7",3,0,0,0,1,5,2,3,3,2
"B0035.1",482,507,521,432,680,729,607,584,720,412
"B0035.13",96,116,106,76,179,3,59,51,14,18
"B0035.15",206,183,203,156,246,226,232,292,308,152
"B0035.18",14,8,7,14,6,18,15,22,12,11
"B0035.21",3,7,1,4,4,2,2,2,1,2
"B0035.3",246,256,247,203,340,353,496,440,445,263
"B0035.6",46,22,51,107,61,168,90,216,168,103
"B0041.1",2,4,0,4,3,3,1,4,2,1
"B0041.11",415,357,384,356,621,400,303,392,1615,850
"B0041.5",422,322,468,446,479,395,338,370,877,466
"B0041.8",196,200,203,186,267,268,231,286,287,173
"B0198.2",25,19,24,21,52,19,18,25,40,13
"B0198.3",112,86,84,60,134,102,66,116,122,68
"B0205.1",201,184,202,171,237,237,130,232,262,119
"B0205.10",0,2,0,0,3,3,0,0,0,0
"B0205.12",66,54,53,51,73,76,104,68,87,47
"B0205.13",34,22,29,29,54,5,15,12,19,12
"B0205.14",12,9,13,15,15,16,10,20,8,4
"B0205.4",195,221,165,108,174,63,84,88,92,59
"B0205.5",7,4,2,2,6,3,3,3,4,0
"B0205.6",940,920,788,669,1067,962,685,653,885,495
"B0205.8",295,301,251,255,324,335,232,274,360,176
"B0205.9",146,141,170,142,180,252,159,202,263,153
"B0207.1",1,3,0,2,4,113,63,53,27,15
"B0207.10",183,172,143,136,220,97,123,92,183,100
"B0207.11",0,0,1,0,1,1,0,0,0,0
"B0207.2",53,44,48,29,49,33,59,69,53,31
"B0207.5",8,2,1,9,7,10,3,7,9,10
"B0207.6",110,101,90,96,124,139,110,137,150,68
"B0207.7",3,3,2,6,4,4,0,3,5,2
"B0207.8",0,1,0,0,4,2,2,5,3,2
"B0207.9",1,6,3,0,6,1,2,0,2,0
"B0212.3",43,52,57,37,75,58,48,56,76,45
"B0218.5",4,0,1,5,1,3,0,0,0,0
"B0218.7",0,1,1,1,0,1,0,0,0,0
"B0222.1",152,210,167,152,326,122,140,115,224,110
"B0222.10",9,1,0,0,2,5,1,3,4,2
"B0222.11",12,15,8,7,13,26,36,35,58,26
"B0222.15",19,16,9,20,22,23,21,12,20,7
"B0222.5",822,800,871,789,1073,614,554,603,936,493
"B0228.1",57,45,42,31,59,41,67,66,49,15
"B0228.6",124,118,82,68,142,105,96,96,120,50
"B0228.7",959,806,723,580,846,1170,775,747,1147,620
"B0228.9",0,0,0,0,0,1,0,1,1,0
"B0238.1",2135,2268,1819,1596,2504,2522,2145,1909,2388,1325
"B0238.11",575,576,528,452,739,983,906,924,955,543
"B0238.12",379,227,273,256,522,657,1815,1802,411,362
"B0238.15",0,0,0,0,1,0,0,1,0,2
"B0238.7",22,29,40,37,92,44,76,67,128,41
"B0238.9",13,6,6,113,22,149,88,220,125,109
"B0244.10",52,50,31,23,36,33,32,32,45,27
"B0244.11",0,0,1,0,1,1,0,0,0,0
"B0244.15",2,1,1,0,1,0,1,3,1,1
"B0244.16",1,3,1,1,2,0,0,1,2,0
"B0244.17",1,0,1,1,3,2,2,4,0,2
"B0244.4",17,11,10,9,8,9,7,4,11,2
"B0244.5",1,0,0,0,0,2,3,5,5,4
"B0244.6",11,10,8,8,12,4,10,10,13,4
"B0244.7",1,0,0,0,1,0,0,1,0,0
"B0244.9",0,0,0,0,1,1,0,1,0,0
"B0250.18",20,22,13,14,31,25,8,12,22,17
"B0250.5",128,133,173,125,239,181,150,172,203,128
"B0250.7",11,12,7,22,11,29,25,35,27,15
"B0250.8",2,1,0,0,3,0,1,0,0,0
"B0252.1",34,35,21,16,24,37,16,26,20,4
"B0252.3",755,825,988,776,1522,940,724,733,1398,722
"B0252.5",11,9,4,3,9,3,2,2,1,0
"B0252.8",79,89,118,75,174,120,167,109,220,100
"B0261.1",477,402,556,481,792,563,395,535,731,468
"B0261.7",71,29,43,113,66,220,102,245,125,104
"B0261.8",141,142,206,128,239,146,213,149,240,130
"B0261.9",2,3,1,0,1,0,1,0,1,0
"B0272.3",385,420,452,303,654,354,380,300,681,285
"B0272.4",431,527,479,331,910,495,560,399,559,272
"B0273.1",7,6,2,1,8,9,9,15,7,3
"B0273.115",1,1,2,0,1,0,1,0,2,0
"B0280.11",0,1,1,1,1,0,0,1,0,0
"B0280.13",60,57,55,45,54,43,39,43,54,30
"B0280.2",11,4,6,6,8,0,2,0,1,1
"B0280.7",4,0,2,0,7,0,2,1,3,3
"B0280.9",542,556,571,458,848,820,687,694,965,485
"B0281.3",74,57,58,40,39,26,35,44,12,13
"B0281.4",1,0,1,0,0,0,0,0,0,0
"B0281.5",1,1,2,0,1,0,1,3,0,1
"B0281.6",2,5,2,3,5,2,2,3,0,0
"B0284.3",241,204,171,147,452,111,75,108,165,85
"B0285.3",153,130,137,119,170,199,171,154,139,96
"B0285.4",424,433,419,293,554,559,526,509,534,300
"B0285.6",24,19,12,16,35,17,35,16,38,16
"B0286.1",277,312,281,218,323,264,196,211,271,123
"B0294.1",208,187,350,181,311,56,62,42,171,77
"B0294.3",3,10,2,4,7,0,0,0,3,5
"B0302.2",0,0,0,0,1,0,0,3,1,2
"B0302.5",331,323,437,281,402,236,274,273,350,230
"B0303.11",1557,1642,1617,1327,2849,1925,1323,1671,2345,1290
"B0303.14",112,117,137,116,179,154,121,132,230,114
"B0303.3",1405,1468,1809,1314,2542,1125,820,766,1536,833
"B0303.4",998,807,864,780,1042,1040,594,730,991,616
"B0303.7",292,304,356,282,367,391,275,307,493,266
"B0304.2",26,19,14,50,31,72,47,84,37,41
"B0304.4",64,41,31,30,51,108,66,115,67,29
"B0310.1",86,76,95,47,97,13,16,7,19,12
"B0310.2",95,119,52,53,150,116,60,51,227,97
"B0310.3",76,88,73,54,131,74,68,65,95,46
"B0310.6",7,2,8,2,2,5,4,7,3,1
"B0334.13",9,8,3,3,5,3,4,6,5,0
"B0334.20",0,0,0,0,1,0,0,1,0,1
"B0334.3",5991,5671,4020,3668,4058,3224,2251,2257,2131,1283
"B0334.4",285,320,275,250,404,363,447,499,427,221
"B0334.5",154,148,179,163,190,186,137,182,224,128
"B0334.6",22,9,11,5,27,4,4,3,9,3
"B0336.12",51,52,44,38,31,15,11,5,9,1
"B0336.13",58,46,57,62,69,86,64,98,90,59
"B0336.3",2109,1806,2331,1892,2902,2610,1404,1584,2518,1414
"B0336.5",112,100,139,118,145,188,137,161,159,86
"B0336.7",139,130,161,138,256,183,162,200,214,116
"B0348.1",1,0,0,0,0,0,0,0,0,1
"B0348.10",10,10,10,4,19,13,6,8,2,3
"B0348.2",34,28,49,43,47,19,24,28,31,28
"B0348.5",3,0,2,4,1,1,1,1,2,1
"B0353.1",288,294,317,288,420,221,210,251,304,149
"B0361.11",7,4,4,0,6,4,1,1,1,0
"B0361.2",554,559,655,496,838,761,819,931,1182,622
"B0361.3",240,278,301,219,380,268,285,323,430,231
"B0361.4",131,183,132,95,198,285,294,268,369,153
"B0361.6",426,418,407,379,541,547,491,499,520,276
"B0365.9",15,20,11,5,44,5,8,7,6,2
"B0379.1",460,461,317,272,564,199,162,176,233,145
"B0379.2",1,0,1,1,0,2,1,1,0,1
"B0379.7",12,11,8,9,7,43,29,31,25,17
"B0391.3",1,1,0,1,0,2,0,3,0,1
"B0393.3",68,64,64,127,99,230,135,272,184,121
"B0393.4",1,0,0,0,2,0,0,0,0,1
"B0393.5",14,30,10,3,35,6,11,13,12,7
"B0393.6",6,2,4,50,4,72,47,103,59,38
"B0393.7",4,3,2,1,2,3,4,0,0,3
"B0393.9",228,278,210,171,328,214,188,195,211,102
"B0395.3",368,398,367,322,706,478,433,481,893,478
"B0403.3",90,78,138,109,160,59,53,56,191,88
"B0403.5",102,82,86,48,66,10,19,20,25,7
"B0403.6",52,56,41,33,70,79,77,61,94,43
"B0410.3",1571,1261,1339,1142,2127,1761,1242,1124,1499,669
"B0416.10",1,7,3,2,4,17,13,17,25,6
"B0416.11",0,2,2,1,2,6,13,21,4,2
"B0416.2",13,6,5,2,7,14,11,11,4,1
"B0416.3",277,238,250,239,357,308,289,326,562,276
"B0416.4",11,7,6,6,13,23,21,21,22,16
"B0416.5",829,800,916,716,1345,967,872,863,1811,1050
"B0416.7",42,36,24,34,75,86,72,78,86,37
"B0432.1",0,0,1,0,2,6,1,2,1,2
"B0432.10",176,154,141,122,123,161,167,185,201,100
"B0432.13",129,116,128,124,152,158,126,182,207,104
"B0432.14",1739,1813,1666,1443,2246,995,1001,772,1740,989
"B0432.7",138,132,131,166,186,109,93,138,157,89
"B0432.8",48,37,51,49,65,78,60,97,73,39
"B0432.9",47,39,43,48,70,52,61,52,57,41
"B0454.26",7,3,3,3,4,9,3,3,8,3
"B0454.5",539,552,516,408,890,304,378,260,564,324
"B0454.6",450,508,991,724,770,500,481,580,663,430
"B0454.8",3,1,2,3,6,2,0,0,0,1
"B0454.9",330,366,251,237,330,340,283,231,296,138
"B0457.2",218,262,244,190,358,282,332,260,285,141
"B0457.4",0,0,1,0,0,0,0,0,1,0
"B0457.6",434,473,464,362,750,740,732,666,680,346
"B0462.4",152,146,223,194,568,401,244,239,932,426
"B0462.5",233,220,215,170,208,77,89,95,82,54
"B0464.6",303,277,307,261,359,418,317,473,559,311
"B0464.9",113,76,96,95,128,157,105,126,126,69
"B0478.3",76,76,39,29,137,72,59,56,189,75
"B0491.1",111,111,153,131,189,144,103,112,214,131
"B0491.5",1539,1357,1204,993,1656,1553,1238,1089,1576,760
"B0491.6",231,202,274,247,324,256,211,268,496,257
"B0491.7",208,226,212,161,357,251,248,198,394,180
"B0495.5",514,475,478,366,826,471,421,495,687,378
"B0495.7",637,610,757,543,995,520,453,615,956,461
"B0495.8",340,348,354,283,489,391,418,497,534,270
"B0495.9",367,340,281,298,414,395,271,293,294,159
"B0496.1",5,3,2,1,5,0,1,3,9,5
"B0496.2",3,2,1,2,4,2,0,1,2,1
"B0496.6",1,1,2,1,2,1,1,1,3,0
"B0507.1",97,71,65,52,61,42,43,55,60,33
"B0507.10",635,754,843,719,5118,324,382,294,941,636
"B0507.15",12,17,7,5,25,7,5,6,7,1
"B0507.2",2438,2073,1675,1490,1825,1857,1235,1275,1199,638
"B0507.3",334,290,187,189,227,456,166,205,213,102
"B0507.4",2,6,2,4,8,10,2,8,1,1
"B0507.5",11,11,2,2,8,1,0,3,6,2
"B0507.6",217,280,233,176,506,85,155,146,176,99
"B0507.7",32,39,38,36,202,28,34,30,73,34
"B0507.8",502,613,540,461,3086,237,291,220,522,316
"B0507.9",5,10,1,4,15,1,2,1,1,1
"B0511.11",40,42,39,27,29,255,206,236,259,134
"B0511.12",1242,1099,1360,1121,1725,1157,995,1300,1610,784
"B0511.13",117,132,95,86,212,94,104,155,168,96
"B0511.17",1,2,0,1,1,6,4,7,6,2
"B0511.19",40,21,16,32,24,95,55,120,45,37
"B0511.6",34707,32743,23101,20516,34063,37831,24409,22116,29813,16819
"B0511.7",209,179,159,175,244,271,253,329,246,145
"B0513.4",59,37,39,64,57,126,106,189,85,48
"B0513.5",319,340,272,261,502,306,279,278,340,139
"B0513.90",2,2,1,1,0,1,1,1,3,0
"B0524.2",3,2,0,0,2,2,1,3,3,1
"B0524.3",1,0,0,0,3,0,0,1,0,0
"B0524.4",2,1,1,0,0,0,0,1,0,0
"B0524.5",1,0,6,2,5,0,1,1,0,1
"B0524.6",350,294,300,282,370,322,287,354,381,241
"B0545.4",17,13,7,11,2,3,0,3,10,2
"B0546.3",679,610,528,540,704,697,445,522,861,462
"B0546.4",987,867,866,786,1007,1067,672,595,1311,664
"B0546.5",8,12,10,7,23,31,32,22,17,17
"B0554.2",0,0,0,0,1,0,0,0,0,1
"B0554.4",0,3,0,0,0,0,0,2,1,0
"B0554.5",4,1,3,2,2,0,2,9,2,1
"B0554.7",26,15,15,8,28,22,9,13,21,8
"B0563.1",4,6,5,10,18,8,23,11,24,14
"B0563.10",0,1,0,1,2,1,1,1,0,2
"B0563.18",4,3,0,0,3,1,1,3,2,0
"B0563.5",76,80,64,55,88,87,77,63,40,18
"B0563.6",326,370,362,232,495,350,359,524,536,295
"B0563.9",34,21,13,25,13,33,35,18,46,27
"B0564.2",291,283,200,167,255,313,208,194,223,113
"B0564.7",317,292,313,298,451,404,310,372,459,246
"BE0003N10.1",152,154,144,121,227,181,124,147,130,74
"BE0003N10.3",28,39,28,22,67,5,7,6,12,3
"BE0003N10.6",6,4,6,0,6,13,3,6,4,0
"BE10.3",0,1,0,0,2,0,1,1,0,2
"BE10.4",6,9,11,8,12,8,17,7,14,3
"C01A2.1",44,31,48,38,66,47,27,31,49,32
"C01A2.2",885,1074,948,641,1047,888,778,650,771,491
"C01A2.4",518,488,472,392,570,431,423,430,406,224
"C01A2.6",10,5,3,6,6,5,1,2,1,2
"C01A2.9",0,0,1,1,0,0,0,0,0,0
"C01B10.10",226,241,186,104,170,76,95,98,90,46
"C01B10.11",275,267,250,147,345,262,314,233,368,165
"C01B10.3",225,275,177,121,260,194,131,126,112,51
"C01B10.4",187,187,149,124,245,233,216,229,312,131
"C01B10.6",101,98,33,58,78,183,223,417,97,34
"C01B10.8",370,426,415,336,678,404,320,413,612,307
"C01B10.9",493,579,575,468,874,636,806,850,772,438
"C01B12.8",15,10,16,25,18,31,22,27,22,17
"C01B7.3",0,0,0,1,0,0,2,1,1,1
"C01B7.5",75,92,50,34,78,69,35,45,54,25
"C01B9.4",242,296,211,171,190,304,239,220,114,75
"C01C10.2",380,375,331,249,512,255,313,364,584,293
"C01C4.2",1,4,1,0,0,6,2,4,5,3
"C01C4.3",1582,1311,739,790,813,1710,558,665,928,567
"C01F1.1",708,637,811,674,1086,734,669,703,819,467
"C01F1.3",257,301,272,194,520,69,92,91,114,46
"C01F1.4",126,123,129,106,250,224,187,211,286,141
"C01F1.5",15,28,13,8,29,12,11,10,18,10
"C01F1.6",532,478,570,425,645,526,439,651,627,364
"C01F6.14",76,67,59,55,92,69,73,64,91,46
"C01F6.2",8,2,3,2,5,9,1,5,3,2
"C01F6.9",450,416,383,323,577,622,677,625,762,389
"C01G10.1",4,8,2,3,2,8,6,8,4,3
"C01G10.10",193,208,178,142,219,167,166,163,235,104
"C01G10.14",0,1,0,0,0,0,0,1,0,0
"C01G10.15",5,4,2,0,8,2,0,1,0,0
"C01G10.16",23,19,14,7,38,6,1,7,10,1
"C01G10.17",6,2,0,3,6,1,0,1,0,0
"C01G10.4",12,6,7,4,5,1,1,3,0,1
"C01G10.5",27,24,11,6,25,3,1,3,0,0
"C01G10.6",1,1,2,0,1,2,0,0,0,0
"C01G10.7",135,120,140,139,168,173,135,131,164,113
"C01G10.8",3072,2474,2268,2084,2590,2989,1985,1962,2361,1313
"C01G10.9",114,109,107,75,118,61,54,54,81,35
"C01G12.13",0,2,0,0,0,0,1,1,0,0
"C01G12.16",7,3,1,2,1,2,0,1,2,1
"C01G12.3",69,88,67,47,94,78,61,71,94,42
"C01G12.5",2,1,2,0,3,3,4,4,6,2
"C01G12.7",63,48,71,48,152,82,83,116,245,113
"C01G5.25",160,134,126,95,218,126,98,128,206,83
"C01G5.3",2,0,0,1,0,1,0,0,0,0
"C01G5.4",0,1,2,0,0,2,0,0,0,2
"C01G5.5",115,73,71,93,167,90,68,80,105,67
"C01G5.7",7,5,7,7,8,6,2,7,10,6
"C01G5.9",35,39,31,30,38,33,19,10,21,14
"C01G6.2",1,1,0,0,4,6,5,7,6,4
"C01G6.3",11,2,1,28,3,46,45,94,27,20
"C01G6.4",864,778,753,702,1175,1004,684,720,1219,665
"C01G6.5",4864,4265,4315,3795,6552,4646,2577,3274,5713,3245
"C01G6.9",2,7,1,0,2,4,1,2,1,0
"C01G8.1",21,10,7,123,16,301,175,444,209,157
"C01H6.3",61,70,68,40,67,47,52,50,58,30
"C01H6.4",215,203,148,113,158,46,49,69,53,20
"C01H6.8",112,163,96,86,217,119,130,107,135,63
"C02B10.3",505,554,577,382,682,260,272,288,552,262
"C02B10.4",317,294,384,306,499,580,523,477,647,353
"C02B10.5",798,632,814,664,1164,878,544,722,784,423
"C02B4.4",52,26,97,123,127,43,27,33,76,39
"C02B8.1",2,4,4,1,7,3,2,3,2,0
"C02B8.12",23,37,33,19,64,31,18,21,26,9
"C02B8.3",25,19,30,27,25,24,10,13,31,19
"C02B8.6",119,113,141,104,177,108,85,94,201,100
"C02D5.2",66,67,73,48,102,111,119,108,365,175
"C02D5.4",666,735,644,458,757,789,721,596,625,372
"C02E7.10",0,1,0,0,3,0,0,0,0,0
"C02E7.6",2,5,1,1,2,0,6,1,1,0
"C02E7.7",1,9,2,0,1,2,10,1,1,0
"C02E7.8",0,0,0,1,1,0,1,1,2,1
"C02F12.5",44,60,98,59,120,90,231,210,310,170
"C02F12.8",53,62,67,63,86,58,43,77,102,50
"C02F12.9",30,26,15,13,30,19,17,24,29,33
"C02F4.4",43,34,8,10,53,4,22,13,16,14
"C02F5.10",10,8,5,3,10,5,12,5,8,1
"C02F5.12",200,127,146,121,237,179,111,118,302,149
"C02F5.13",90,108,106,85,158,146,141,157,153,58
"C02F5.14",182,234,214,148,403,84,190,157,123,68
"C02F5.2",2,2,1,0,4,0,2,0,3,1
"C02F5.3",7686,7301,4940,4468,6836,6531,4603,4388,4684,2789
"C02F5.5",8,11,13,11,17,0,4,3,3,1
"C02G6.1",112,92,62,71,156,36,23,37,60,23
"C02G6.2",0,1,3,0,5,0,2,3,5,0
"C02G6.3",1,2,3,1,3,0,2,0,2,2
"C02H6.1",2,4,0,1,0,0,2,1,2,0
"C02H6.3",26,30,22,20,34,14,38,24,41,23
"C03A3.1",84,94,58,41,82,51,58,50,83,37
"C03A3.2",423,476,357,284,563,362,205,254,436,213
"C03A3.3",19,23,21,17,19,11,7,5,17,7
"C03B1.1",2,3,0,1,4,1,1,1,2,0
"C03B1.10",0,0,0,1,0,0,5,5,8,0
"C03B1.13",111,114,107,78,127,203,86,89,244,116
"C03B1.14",30,21,20,10,11,11,12,6,6,2
"C03B1.2",24,30,31,22,24,20,13,20,23,8
"C03B1.4",1,0,0,2,0,2,2,1,1,0
"C03B1.5",6,8,2,3,15,14,25,41,40,14
"C03B1.6",1,2,0,0,2,0,2,2,4,0
"C03B1.7",41,61,56,50,79,63,39,46,123,68
"C03B8.3",7,7,7,5,14,21,10,12,10,9
"C03C10.5",0,0,0,0,2,0,0,2,0,0
"C03C10.7",2,5,5,8,7,4,3,5,7,0
"C03C10.9",0,0,0,0,0,0,0,2,0,0
"C03C11.1",7,0,4,3,7,2,2,3,2,0
"C03D6.1",95,122,91,68,109,103,53,60,137,85
"C03E10.1",0,0,0,0,3,0,0,1,2,1
"C03E10.3",26,27,22,15,38,22,10,17,33,21
"C03F11.2",17,17,4,9,24,96,111,64,79,38
"C03F11.4",73,77,52,55,113,69,84,96,83,49
"C03G6.17",794,675,501,435,663,810,520,582,375,228
"C03G6.5",3127,3403,2385,1745,2354,1516,1348,1298,506,306
"C03G6.6",12,13,2,3,31,4,7,12,6,3
"C03H12.1",430,405,288,272,433,443,337,281,400,220
"C03H5.3",633,478,502,421,701,743,461,421,637,383
"C03H5.4",10,10,6,1,23,15,9,9,12,3
"C03H5.5",89,83,68,49,52,22,34,32,41,17
"C03H5.6",94,98,91,78,134,99,112,138,147,75
"C03H5.7",2,0,3,0,2,1,1,5,8,2
"C03H5.9",3,2,2,0,2,2,1,1,9,4
"C04A11.1",99,96,75,73,115,93,68,63,73,38
"C04A11.2",18,21,14,13,24,20,16,18,24,15
"C04A11.5",103,120,172,95,56,78,72,45,39,17
"C04A2.15",8,6,6,1,5,2,2,1,1,0
"C04B4.2",2,1,1,8,0,28,21,49,10,12
"C04B4.4",0,0,1,0,1,1,0,1,0,0
"C04B4.5",0,1,0,0,0,0,1,0,0,0
"C04C11.1",16,18,15,26,42,18,27,26,44,20
"C04C3.14",2,0,3,1,5,2,0,0,0,0
"C04C3.4",0,1,0,0,0,0,0,0,0,1
"C04C3.6",9,19,13,18,21,5,13,8,15,11
"C04C3.7",22,20,20,24,85,67,41,50,100,49
"C04C3.9",4,6,7,6,5,1,1,0,1,2
"C04E12.2",118,98,55,83,69,19,53,31,18,15
"C04E12.4",130,135,108,68,140,23,25,22,38,23
"C04E12.5",83,108,66,70,233,162,145,139,163,62
"C04E6.11",132,135,115,84,166,136,124,173,203,102
"C04E6.12",2,3,2,3,3,5,4,5,4,2
"C04E6.13",185,193,139,85,187,55,52,40,60,15
"C04E6.4",0,0,0,1,0,0,1,1,3,3
"C04E6.5",1,0,0,0,1,10,4,4,6,3
"C04E6.7",387,369,331,267,368,452,317,327,484,218
"C04E6.8",18,16,16,15,39,43,39,55,60,33
"C04E7.1",1,0,1,0,2,1,0,0,0,0
"C04E7.3",354,293,264,322,484,250,216,272,323,180
"C04E7.4",184,200,201,158,297,190,146,166,345,176
"C04E7.5",0,0,0,1,0,0,1,3,1,0
"C04F1.1",62,55,47,39,65,48,62,41,46,22
"C04F12.1",523,539,562,460,1220,350,432,467,573,287
"C04F12.16",77,71,45,55,102,55,40,48,63,29
"C04F12.5",36,39,31,39,37,45,30,31,30,17
"C04F12.7",186,159,109,88,155,91,55,68,103,49
"C04F12.8",684,642,606,579,737,575,442,476,593,338
"C04F5.2",2,2,2,0,6,3,4,4,5,6
"C04F5.8",290,266,280,287,373,317,238,295,295,174
"C04F5.9",133,116,130,112,178,143,122,175,239,118
"C04F6.7",2,2,2,1,2,2,0,3,3,0
"C04G2.10",2,2,1,4,1,7,6,10,3,1
"C04G2.2",469,426,177,195,159,123,52,50,54,34
"C04G2.9",1,0,0,0,1,0,0,2,2,1
"C04G6.10",2,4,3,1,7,6,10,15,8,4
"C04G6.11",1,0,0,0,2,1,0,0,1,1
"C04G6.13",1,1,1,0,0,2,0,4,1,0
"C04G6.2",14,16,11,6,11,20,12,14,12,8
"C04G6.4",342,335,305,303,490,381,243,308,415,209
"C04G6.6",10,12,12,21,24,31,18,46,30,14
"C04G6.7",5,7,7,6,14,19,18,20,9,4
"C04H4.1",27,31,34,32,32,25,12,26,42,27
"C04H5.1",153,171,187,151,263,203,180,172,244,145
"C04H5.7",3,1,2,3,9,2,14,10,8,3
"C05A2.4",0,1,0,0,0,2,1,0,0,1
"C05A9.2",917,843,637,619,712,590,420,441,377,200
"C05B5.1",0,1,2,0,0,0,0,1,1,0
"C05B5.11",1,0,1,0,1,0,0,0,0,1
"C05B5.16",0,1,1,0,0,3,2,2,5,0
"C05B5.17",1,0,3,0,2,0,1,2,0,0
"C05B5.2",0,4,1,1,1,1,0,0,0,0
"C05B5.4",48,55,48,32,69,30,27,26,30,11
"C05B5.5",39,46,25,21,31,15,11,11,8,4
"C05B5.8",1220,1275,1276,906,1288,873,670,625,543,343
"C05C10.2",488,468,451,407,635,563,467,586,883,475
"C05C10.3",821,791,1344,1118,2068,2459,2354,2575,4088,2622
"C05C10.5",10,1,8,79,9,200,123,325,142,96
"C05C10.7",51,45,23,31,49,60,60,58,44,15
"C05C10.8",1,0,1,0,1,7,6,7,6,6
"C05C12.4",1691,1939,1434,1083,2069,1226,1589,1317,1183,591
"C05C12.5",0,1,1,0,0,3,2,3,1,1
"C05C12.6",199,166,160,171,298,231,259,261,335,177
"C05C8.1",323,354,239,198,285,377,452,403,242,149
"C05C8.2",603,523,515,472,697,684,510,576,590,371
"C05C8.5",224,241,168,183,276,232,248,282,248,147
"C05C8.7",793,881,802,587,858,642,513,481,460,259
"C05C8.8",14,15,11,5,22,13,11,17,31,16
"C05C9.1",2,1,1,0,2,0,0,0,0,0
"C05C9.2",1,5,2,0,2,0,1,3,3,4
"C05C9.3",3,4,3,0,17,4,2,5,2,0
"C05D10.4",439,457,535,358,636,407,384,439,546,278
"C05D11.1",3086,2760,2000,1958,2337,2252,1399,1649,2186,1180
"C05D11.13",286,299,268,208,343,207,192,205,300,166
"C05D11.5",33,37,27,23,65,42,38,28,34,21
"C05D11.8",293,284,327,248,464,307,200,306,486,282
"C05D11.9",261,247,262,239,355,312,357,429,478,258
"C05D12.1",132,123,112,90,224,111,82,93,94,40
"C05D12.2",89,110,80,61,135,71,59,102,86,49
"C05D12.3",7,5,2,4,44,2,7,5,5,10
"C05D12.5",0,0,0,0,0,0,1,0,0,1
"C05D12.7",412,454,351,284,573,397,284,325,418,167
"C05D2.10",692,675,598,593,1025,711,705,731,1061,560
"C05D2.8",155,182,292,205,348,285,413,364,546,273
"C05D9.3",103,95,86,77,113,68,71,66,42,28
"C05D9.4",5,2,2,3,2,2,2,5,1,0
"C05D9.7",97,105,91,79,119,89,83,88,75,35
"C05D9.9",1969,2182,2032,1545,2887,1689,1948,1479,1834,937
"C05E11.2",0,0,0,0,1,0,1,4,0,0
"C05E11.3",127,129,114,75,162,181,195,157,243,104
"C05E11.6",150,137,125,74,330,140,119,102,211,95
"C05E11.7",0,0,0,1,6,0,0,2,2,1
"C05E4.12",2,6,0,0,5,4,1,3,4,4
"C05E4.15",15,24,7,6,17,7,5,13,10,8
"C05E4.7",0,0,1,1,1,0,0,0,1,0
"C05E7.1",174,220,122,92,219,240,193,157,131,60
"C05E7.2",9,10,7,0,10,6,33,12,25,1
"C05E7.3",147,136,103,79,175,384,245,175,324,165
"C05G5.1",181,155,114,77,158,99,59,65,68,30
"C05G5.2",175,116,136,142,153,113,127,196,151,85
"C05G5.3",136,121,90,76,178,143,127,128,175,96
"C05G5.5",35,31,24,29,44,23,25,34,40,32
"C05G5.7",5,9,1,0,34,1,5,11,8,0
"C06A1.2",693,833,731,565,1151,237,298,213,395,184
"C06A1.3",10,10,4,5,12,7,4,5,2,1
"C06A1.6",0,2,0,0,0,0,1,0,0,0
"C06A1.7",1,0,0,0,0,1,0,0,0,0
"C06A12.19",15,9,3,10,6,1,5,5,8,6
"C06A12.3",362,410,371,292,499,602,551,431,418,213
"C06A12.8",0,1,0,2,1,1,2,0,1,0
"C06A5.12",19,12,14,10,21,10,17,13,16,10
